84489222	7	280	12383	clust1565	2316
84489223	33	281	10466	clust346	2400
84489224	1	206	9720	clust7600	2656
84489225	47	321	8427	clust215	1950
84489226	47	534	6820	clust215	2239
84489227	14	295	5822	clust824	2644
84489228	4	321	4780	clust2260	3100
84489229	1	220	3460	clust10015	3380
84489230	293	235	1818	clust18	62
84489231	85	605	7	clust107	107
84489232	351	319	0	clust9	0
84489233	595	235	1678	clust5	5
84489234	489	795	4049	clust6	5
84489235	264	165	4559	clust21	10
84489236	1334	332	5545	clust2	8
84489237	752	89	5808	clust3	7
84489238	1	102	6510	clust15598	2605
84489239	1	157	10590	clust16104	4534
84489240	2	309	11904	clust5578	4664
84489241	1	517	13481	clust13244	5617
84489242	1	233	14388	clust8992	5955
427735944	2	188	12954	clust3822	4129
427735945	3	227	12194	clust2794	4163
427735946	1	188	11440	clust15668	4334
427735947	27	477	10810	clust432	2715
427735948	32	172	8793	clust353	3096
427735949	24	306	8675	clust479	3644
427735950	1	274	6831	clust16327	4436
427735951	53	188	3205	clust186	472
427735952	22	233	1552	clust506	616
427735953	16	525	22	clust726	726
427735954	252	319	0	clust24	0
427735955	595	212	1603	clust5	5
427735956	23	894	2658	clust489	247
427735957	1	137	6295	clust15714	5402
427735958	1	403	7516	clust16411	8154
427735959	1	294	7547	clust12568	9037
427735960	1	204	8418	clust9057	9040
427735961	4	329	9658	clust2220	8066
427735962	15	528	11641	clust743	7150
427735963	1	63	14386	clust18227	8381
427735964	18	255	14683	clust619	7605
383753760	50	339	13644	clust199	184
383753761	43	213	12996	clust239	182
383753762	44	137	12596	clust230	175
383753763	198	267	11791	clust34	167
383753764	124	657	9778	clust69	190
383753765	14	239	8915	clust822	214
383753766	1334	329	7736	clust2	62
383753767	103	1092	4486	clust86	82
383753768	108	384	949	clust78	80
383753769	105	310	3	clust83	83
383753770	124	336	0	clust70	0
383753771	123	192	1594	clust71	71
383753772	2	190	1713	clust4389	2230
383753773	1	172	2610	clust7409	3956
383753774	1	142	3216	clust16352	7055
383753775	67	656	5955	clust146	5673
383753776	35	739	8202	clust325	4782
383753777	34	150	8755	clust331	4146
383753778	1	513	10269	clust13355	5297
383753779	18	421	11549	clust613	4776
383753780	40	603	13360	clust268	4325
89895542	25	267	11952	clust459	8568
89895543	1	86	10333	clust17044	9469
89895544	12	327	9161	clust960	8522
89895545	12	305	8946	clust960	9602
89895546	1	89	7778	clust7400	11042
89895547	1	345	7505	clust8435	11771
89895548	1	102	6445	clust18477	12605
89895549	1	84	4806	clust18279	10648
89895550	1	525	2373	clust13661	6833
89895551	595	231	735	clust5	5
89895552	351	287	0	clust9	0
89895553	10	688	937	clust1109	1109
89895554	4	260	3552	clust2346	1727
89895555	50	176	4614	clust200	1218
89895556	9	108	5250	clust1240	1223
89895557	51	96	5573	clust194	1017
89895558	1	98	7445	clust15811	3483
89895559	217	202	7715	clust29	2989
89895560	11	682	8540	clust1011	2742
89895561	1	91	10827	clust11543	3720
89895562	15	577	11423	clust762	3424
223476992	6	226	12657	clust1718	2642
223477128	4	310	11662	clust2590	2745
350525761	3	1173	11585	clust3064	2765
350525762	1	68	6894	clust17562	2722
223477143	752	85	5655	clust3	249
223477145	7	229	5662	clust1444	298
223476990	1334	326	4962	clust2	11
223477133	264	178	3972	clust21	15
223477262	280	868	3439	clust19	12
223477026	595	275	833	clust5	5
223477056	252	393	0	clust24	0
350525763	2	99	1181	clust3499	3499
223477290	63	636	1449	clust154	1826
223476977	293	245	3340	clust18	1223
223477164	6	232	4248	clust1657	1332
223476942	7	439	6435	clust1408	1347
223477296	34	410	7774	clust340	1179
223476983	36	138	8221	clust309	1055
223477171	1	184	8819	clust13141	2565
223477086	1	258	13034	clust8323	3205
223477216	1	223	13726	clust10966	3981
206901085	296	291	11528	clust17	137
206900954	296	278	10692	clust17	151
206901362	9	485	9189	clust1221	168
206900254	147	328	9168	clust57	17
206901087	217	211	7054	clust29	11
206901183	752	87	4717	clust3	7
206900365	1334	326	4451	clust2	8
206901975	264	170	3466	clust21	10
206901121	489	755	2933	clust6	5
206901693	595	233	688	clust5	5
206900844	252	299	0	clust24	0
206901511	63	558	915	clust154	154
206901703	293	267	2593	clust18	86
206901145	38	396	4787	clust285	152
206900528	57	346	5907	clust173	157
206901707	15	199	6496	clust754	276
206900389	2	433	7810	clust4295	946
206901171	57	349	8874	clust173	836
206900099	15	207	9487	clust754	825
206901225	27	145	9542	clust427	781
206900137	1	572	11845	clust8772	1580
317122387	1	98	13454	clust9678	5819
317122388	1	124	13161	clust10484	5390
317122389	1	121	12771	clust7945	4754
317122390	60	380	12409	clust163	4298
317122391	2	656	11270	clust4565	4987
317122392	1	251	8170	clust10490	5072
317122393	1	125	7662	clust14434	3717
317122394	33	888	7288	clust345	145
317122395	103	1037	3976	clust86	45
317122396	595	253	773	clust5	5
317122397	351	313	0	clust9	0
317122398	10	699	962	clust1109	1109
317122399	1	358	3051	clust15139	8124
317122400	145	369	4269	clust60	5436
317122401	3	561	5670	clust3375	4920
317122402	603	259	7546	clust4	3937
317122403	78	225	8318	clust117	3300
317122404	76	296	9116	clust126	2847
317122405	41	438	11612	clust256	2523
317122406	138	432	13065	clust63	2249
317122407	94	214	13709	clust96	2034
147920416	1	134	16339	clust11241	2400
147920417	28	340	15294	clust418	1417
147920418	164	276	14421	clust48	1542
147920419	95	661	12297	clust95	1756
147920420	1	117	11433	clust11266	2033
147920421	13	438	11307	clust882	186
147920422	228	96	2693	clust28	12
147920423	1334	313	2396	clust2	7
147920424	298	250	1450	clust16	10
147920425	595	227	698	clust5	5
147920426	301	391	0	clust14	0
147920427	259	196	1172	clust23	23
147920428	269	533	1759	clust20	21
147920429	280	889	3365	clust19	20
147920430	1	166	6841	clust10717	2694
147920431	1	74	6981	clust14882	5132
147920432	13	187	7292	clust845	4417
147920433	1	90	8126	clust16883	6198
147920434	1	143	9037	clust17980	7671
147920435	8	752	9333	clust1321	6965
147920436	1	172	12205	clust17017	7970
434408286	39	265	15325	clust281	3397
434408287	3	288	13054	clust3326	3744
434408288	1	78	13076	clust8564	3796
434408289	1	1216	8997	clust9988	3115
434408290	1	610	7048	clust11563	1970
434408291	752	91	3547	clust3	51
434408292	1334	335	3268	clust2	63
434408293	306	196	2219	clust13	84
434408294	191	274	1623	clust38	119
434408295	50	234	782	clust201	201
434408296	57	333	0	clust170	0
434408297	37	1158	1084	clust293	293
434408298	1	59	4607	clust6831	3562
434408299	146	726	5080	clust58	2394
434408300	11	78	7271	clust1039	2055
434408301	145	306	8672	clust60	1656
434408302	1	199	9458	clust15216	3916
434408303	1	1067	12707	clust6382	4268
434408304	1	295	13657	clust10088	4995
434408305	3	366	14763	clust3027	4777
434408306	3	236	15494	clust2619	4561
392424819	1	661	11578	clust16943	6581
392424820	1	385	10316	clust11298	5430
392424821	2	289	9783	clust5463	4696
392424822	1	235	7973	clust12209	4587
392424823	106	155	7370	clust82	3317
392424824	1	293	6404	clust11534	3964
392424825	1	73	6163	clust8212	2071
392424826	489	810	2862	clust6	25
392424827	204	247	2099	clust33	34
392424828	197	699	3	clust36	36
392424829	351	284	0	clust9	0
392424830	1334	343	2587	clust2	2
392424831	752	94	2888	clust3	2
392424832	1	227	5948	clust10834	3613
392424833	48	140	7236	clust210	2762
392424834	1	62	8034	clust12849	4779
392424835	1	406	9385	clust16953	6808
392424836	19	416	10691	clust604	5922
392424837	70	210	11679	clust142	5199
392424838	1	125	12046	clust12952	6061
392424839	217	178	12533	clust29	5457
158522986	1	415	16382	clust18086	5057
158522987	50	464	13449	clust195	3609
158522988	9	323	13163	clust1257	4036
158522989	22	133	11244	clust505	4433
158522990	1	423	9771	clust12889	5088
158522991	1	387	8108	clust11187	3528
158522992	1	812	5563	clust6394	1614
158522993	280	899	2176	clust19	20
158522994	269	529	590	clust20	21
158522995	259	192	15	clust23	23
158522996	301	370	0	clust14	0
158522997	595	259	1901	clust5	5
158522998	298	273	2773	clust16	10
158522999	1334	309	3748	clust2	7
158523000	228	105	4067	clust28	12
158523001	1	57	6754	clust6224	1255
158523002	3	387	7932	clust3172	1574
158523003	7	92	9224	clust1463	1558
158523004	1	121	9812	clust9662	2571
158523005	1	326	10167	clust7454	3114
158523006	214	159	11764	clust30	2805
297624517	69	515	11259	clust143	4486
297624518	296	299	9541	clust17	4969
297624519	296	314	8648	clust17	5588
297624520	1	56	7383	clust18760	6384
297624521	1	113	7134	clust12445	4322
297624522	1	188	6802	clust13436	2697
297624523	228	103	2532	clust28	12
297624524	1334	320	2267	clust2	7
297624525	298	210	1301	clust16	10
297624526	595	230	694	clust5	5
297624527	301	392	0	clust14	0
297624528	259	196	1175	clust23	23
297624529	269	512	1749	clust20	21
297624530	2	138	3340	clust4456	1499
297624531	280	896	3753	clust19	1129
297624532	145	326	6469	clust60	915
297624533	29	278	8032	clust401	829
297624534	1	544	8926	clust6679	1665
297624535	116	1106	14747	clust76	1466
297624536	7	289	14938	clust1503	1470
297624537	35	330	17053	clust319	1355
238924831	16	477	5556	clust688	7585
238924832	1	52	3972	clust6703	8351
238924833	1	139	3392	clust11230	8558
238924834	1	88	3159	clust13503	8176
238924835	1	65	2823	clust15452	7288
238924836	1	71	2731	clust16976	5655
238924837	1	72	2347	clust11285	2825
238924838	752	96	1990	clust3	6
238924839	1334	343	1690	clust2	7
238924840	306	220	662	clust13	13
238924841	351	303	0	clust9	0
238924842	197	578	912	clust36	36
